Timestamp,En que ciudad te encuentras?,Que edad tienes,Cuál es el código postal desde donde sueles hacer tus pedidos de comida? (de tu domicilio o de tu trabajo),"Para tu comida de medio día, la mayoría de las veces...",Qué tan frecuente pides comida a domicilio?,"Cuando haces pedido de comida, qué tipo de comida sueles pedir?",Como te enteras del menú de la fondita o comida corrida cercana?,Cuál es el medio por el que haces tus pedidos?,Que es lo más difícil de hacer el pedido por este medio? ,Tus pedidos....,Avisan a que hora quieres recibir tu comida?,Normalmente como haces el pago de tu pedido?,"Te cobran extra, si es un pedido a domicilio?",Cuál es el límite de entrega (en cuadras a la redonda del negocio de comidas)?,Te gustaría conocer más locales de comida en tu colonia o delegación?,Quien lleva y entrega el pedido?,Han habido ocasiones en que no encuentran la dirección de entrega? Que es lo que haces en ese caso?,"Algún otro comentario, o limitación que tengas para poder conocer las alternativas de comida y hacer pedidos en tu colonia/delegación?"
2/18/2021 12:37:50,Guadalajara ,,,Preparas tu comida en casa,1 a 2 veces por semana,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",Visitas el lugar y pides el menú del día,Teléfono,,Pides que te lo envíen a tu domicilio,Llegan despúes de haber hecho el pedido,Contra entrega en efectivo,Si,10 cuadras,Sí,Existe una persona exclusiva que hace las entregas,Pido en otro lugar,Les falta difusión a los negocios locales
2/18/2021 12:38:07,Guadalajara,,,Preparas tu comida en casa,3 a 5 veces por semana,"Antojitos mexicanos (tacos, gorditas, quesadillas, etc), Comida rápida (hamburguesas, hotdogs, alitas, etc)",Visitas el lugar y pides el menú del día,"Visitan el local para hacer el pedido, APP móvil",,Los recoges en el lugar,Sí,Contra entrega en efectivo,Si,10 cuadras,Sí,"Existe una persona exclusiva que hace las entregas, UBER EATS, DIDI Food",Voy al lugar,Horarios
2/18/2021 12:47:07,Tlaquepaque Jalisco,,45540,Preparas tu comida en casa,1 a 2 veces al mes,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",Visitas el lugar y pides el menú del día,Teléfono,,Pides que te lo envíen a tu trabajo,Sí,Contra entrega en efectivo,No,,Sí,"Repartidores, contratados ","Si, ellos marcan y piden indicaciones bien de cómo llegar",No
2/18/2021 12:49:19,Guadalajara ,,44648,Preparas tu comida en casa,1 a 2 veces al mes,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",Visitas el lugar y pides el menú del día,"Teléfono, Visitan el local para hacer el pedido, APP móvil",,Pides que te lo envíen a tu domicilio,Sí,Tarjeta de debito / credito,Si,,Sí,"Existe una persona exclusiva que hace las entregas, UBER EATS, DIDI Food",Salgo y le chiflo,
2/18/2021 12:49:34,guadalajara,,44700,Preparas tu comida en casa,1 a 2 veces al mes,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",Página web,"Teléfono, APP móvil",,Pides que te lo envíen a tu domicilio,Llegan despúes de haber hecho el pedido,"Contra entrega en efectivo, Tarjeta de debito / credito",Si,10 cuadras,Sí,"UBER EATS, DIDI Food",,
2/18/2021 12:59:47,Zapopan,,45190,Preparas tu comida en casa,1 a 2 veces por semana,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",Facebook,APP móvil,,Pides que te lo envíen a tu domicilio,Sí,Tarjeta de debito / credito,Si,10 cuadras,Sí,UBER EATS,No,ninguno 
2/18/2021 14:22:33,Guadalajara,Entre 18 y 28 años de edad,44870,Preparas tu comida en casa,1 a 2 veces por semana,"Desayunos, Comida rápida (hamburguesas, hotdogs, alitas, etc)",WhatsApp,Teléfono,,Pides que te lo envíen a tu domicilio,Llegan despúes de haber hecho el pedido,"Contra entrega en efectivo, Tarjeta de debito / credito",Si,8 cuadras,Sí,"Uno de los meseros o meseras, UBER EATS, DIDI Food",No.,Conocer calificaciones de los locales cercanos sería de mucha ayuda para saber en dónde pedir.
2/18/2021 15:40:41,Tonalá,Entre 18 y 28 años de edad,45402,Preparas tu comida en casa,1 a 2 veces por semana,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",Visitas el lugar y pides el menú del día,APP móvil,,Pides que te lo envíen a tu domicilio,Llegan despúes de haber hecho el pedido,Tarjeta de debito / credito,Si,10 cuadras,Sí,DIDI Food,Me marcan para preguntar por indicaciones,
2/18/2021 17:12:32,Guadalajara,Entre 18 y 28 años de edad,45402,Comes fuera de casa / trabajo,1 a 2 veces por semana,"Comida corrida / Comida a medio día, Antojitos mexicanos (tacos, gorditas, quesadillas, etc), Comida rápida (hamburguesas, hotdogs, alitas, etc)",Página web,"WhatsApp, APP móvil",,Pides que te lo envíen a tu trabajo,No,Tarjeta de debito / credito,No,8 cuadras,Sí,"Existe una persona exclusiva que hace las entregas, UBER EATS, DIDI Food",No,No
2/18/2021 17:12:52,Ciudad de México ,Entre 18 y 28 años de edad,02800,Preparas tu comida en casa,1 a 2 veces por semana,"Antojitos mexicanos (tacos, gorditas, quesadillas, etc), Comida rápida (hamburguesas, hotdogs, alitas, etc)",Visitas el lugar y pides el menú del día,"Teléfono, Visitan el local para hacer el pedido",,Los recoges en el lugar,Llegan despúes de haber hecho el pedido,Contra entrega en efectivo,Si,5 cuadras,Sí,Existe una persona exclusiva que hace las entregas,Se comunican conmigo para preguntar,Ninguna 
